ADM_RATE,AGE_ENTRY,AVGFACSAL,CITY,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,HBCU,HSI,ICLEVEL,INSTNM,INSTURL,MD_EARN_WNE_P10,NANTI,OPEID,PCIP13,PCIP14,PCIP27,PCIP52,PCT_ASIAN,PCT_BLACK,PCT_HISPANIC,PCT_WHITE,PCTPELL,PFTFAC,PREDDEG,RELAFFIL,SAT_AVG,SCH_DEG,STABBR,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,LATITUDE,LONGITUDE,date
NULL,26.988064791,9308,Chicago,1,12095,NULL,0.6035805627,0.4984481688,6180,0,0,2,City Colleges of Chicago-Kennedy-King College,www.ccc.edu/colleges/kennedy/pages/default.aspx,27595,0,00165400,0,0,0,0.0208,1.71000003814697,75.1399993896484,9.65999984741211,16.4400005340576,0.3435,0.4672,1,NULL,NULL,1,IL,1081,0.4172,0.5828,0.0241,0.0019,0.0074,0.704,0.2137,0.0009,0.0065,0.0056,0.0361,41.780253,-87.643425,2024-06-13
NULL,25.247821034,9957,Chicago,1,10140,NULL,0.777454968,0.5630908344,8375,0,1,2,City Colleges of Chicago-Malcolm X College,www.ccc.edu/colleges/malcolm-x/pages/default.aspx,31328,0,00165000,0,0,0,0,2.27999997138977,62.3699989318847,21.2900009155273,21.1000003814697,0.3776,0.3742,1,NULL,NULL,1,IL,5224,0.215,0.785,0.017,0.0008,0.0287,0.3344,0.5247,0.0008,0.0126,0.0048,0.0762,41.878092,-87.675321,2024-06-13
NULL,25.964622642,10595,Chicago,1,11342,NULL,0.626572327,0.4693877551,7646,0,1,2,City Colleges of Chicago-Olive-Harvey College,www.ccc.edu/colleges/olive-harvey/Pages/default.aspx,27458,0,00976700,0,0,0,0.1419,0.69999998807907,79.5,9.73999977111816,13.0900001525878,0.3115,0.3333,1,NULL,NULL,1,IL,965,0.3699,0.6301,0.0249,0,0.0021,0.7181,0.2135,0.001,0.0073,0.0073,0.0259,41.709997,-87.589249,2024-06-13
NULL,25.653581943,9901,Chicago,1,10693,NULL,0.6040235525,0.5097774781,6997,0,1,2,City Colleges of Chicago-Harry S Truman College,www.ccc.edu/colleges/truman/Pages/default.aspx,32719,0,00164800,0.017,0.0026,0,0.0091,8.78999996185302,26.8400001525878,23.8400001525878,48.3899993896484,0.1834,0.2756,2,NULL,NULL,2,IL,2132,0.3856,0.6144,0.0319,0.0038,0.1004,0.2819,0.3546,0.0009,0.0347,0.0061,0.1857,41.964502,-87.659107,2024-06-13
NULL,22.789044289,10294,Chicago,1,9418,NULL,0.5734265734,0.6125,4500,0,1,2,City Colleges of Chicago-Richard J Daley College,ccc.edu/colleges/daley/pages/default.aspx,36836,0,00164900,0,0.0048,0,0.0157,1.23000001907348,49.8499984741211,28.1800003051757,30.8899993896484,0.2019,0.2385,1,NULL,NULL,1,IL,2203,0.5343,0.4657,0.0123,0,0.0064,0.1512,0.6981,0.0009,0.005,0.0045,0.1217,41.755955,-87.723981,2024-06-13
NULL,22.633307573,10440,Chicago,1,10156,NULL,0.5672333849,0.5486866543,5750,0,1,2,City Colleges of Chicago-Harold Washington College,www.ccc.edu/colleges/washington/Pages/default.aspx,34157,0,00165200,0.0014,0.0014,0,0.0486,4.11999988555908,52.9099998474121,21.8099994659423,28.5699996948242,0.3448,0.3028,2,NULL,NULL,2,IL,4216,0.4113,0.5887,0.0306,0.0007,0.0752,0.2379,0.5152,0.0009,0.0282,0.0031,0.1082,41.886067,-87.626596,2024-06-13
NULL,23.316153363,11069,Chicago,1,9412,NULL,0.5549968573,0.5730337079,6500,0,1,2,City Colleges of Chicago-Wilbur Wright College,ccc.edu/colleges/wright/pages/default.aspx,38908,0,00165500,0,0.0174,0,0.0058,4.98999977111816,19.5699996948242,35.4799995422363,52.8300018310547,0.2601,0.2721,2,NULL,NULL,2,IL,4537,0.4732,0.5268,0.0251,0.0009,0.0716,0.0738,0.6141,0.0007,0.0163,0.0042,0.1933,41.958774,-87.787868,2024-06-13
0.9564,21.027710519,8747,Chicago,2,45539,201677414,0.6115146624,0.2494863516,25000,0,0,1,Columbia College Chicago,www.colum.edu/,41963,0,00166500,0.003,0,0,0.0367,3.79999995231628,16.8099994659423,11.5100002288818,71.7099990844726,0.4132,0.31,3,NULL,NULL,3,IL,6458,0.399,0.601,0.0502,0.0012,0.0373,0.1496,0.245,0.0008,0.0319,0.0116,0.4724,41.874261,-87.624667,2024-06-13
0.8781,22.408529742,4154,River Forest,2,42257,23228631,0.5723905724,0.3850063532,23000,0,1,1,Concordia University-Chicago,www.cuchicago.edu/,51219,0,00166600,0.1292,0,0.0026,0.1447,3.05999994277954,16.3400001525878,14.1899995803833,71.620002746582,0.396,0.6071,3,68,NULL,3,IL,1370,0.4358,0.5642,0.0431,0.0015,0.0263,0.1321,0.3394,0.0015,0.0051,0.0088,0.4423,41.898696,-87.809482,2024-06-13
NULL,24.534246575,6897,Danville,1,9711,15715972,0.6174920969,0.4930467762,7218,0,0,2,Danville Area Community College,www.dacc.edu/,34878,0,00166900,0,0.0037,0,0.0259,0.89999997615814,10.3599996566772,3.08999991416931,85.7300033569336,0.2602,0.7241,1,NULL,NULL,2,IL,1264,0.4051,0.5949,0,0.0055,0.0119,0.2104,0.0649,0,0,0.0601,0.6472,40.127539,-87.587884,2024-06-13
0.6944,22.141913633,11700,Chicago,2,56733,751412000,0.550042337,0.3023514164,23168,0,0,1,DePaul University,https://www.depaul.edu/,67245,0,00167100,0.0318,0.0003,0.0078,0.2993,5.44000005722045,13.0200004577636,14.1099996566772,72.4300003051757,0.3143,0.4813,3,30,NULL,3,IL,14059,0.4607,0.5393,0.0452,0.0009,0.1184,0.0776,0.22,0.001,0.0272,0.0145,0.4952,41.877618,-87.62724,2024-06-13
NULL,23.448447894,12398,Glen Ellyn,1,13150,13670405,0.5408813747,0.4260813428,10410,0,1,2,College of DuPage,www.cod.edu/,45341,0,00665600,0,0.0094,0,0.1116,6.84999990463257,7.73000001907348,10.5,79.3300018310547,0.3058,0.2137,2,NULL,NULL,2,IL,14801,0.4556,0.5444,0.0326,0.0018,0.1116,0.0857,0.2756,0,0.0132,0.027,0.4526,41.841577,-88.071635,2024-06-13
NULL,22.119266055,6981,Chicago,2,29337,NULL,0.5229357798,0.5393939394,26986,0,0,1,East-West University,www.eastwest.edu/,30381,0,02168600,0,0,0.0161,0.2419,2.15000009536743,61.2099990844726,18.6599998474121,23.7999992370605,0.8162,1,3,NULL,NULL,3,IL,487,0.4456,0.5544,0.0185,0.0021,0.0123,0.4846,0.3368,0.0041,0.0924,0.0164,0.0329,41.871309,-87.624793,2024-06-13
0.7174,21.899513776,8632,Charleston,1,24506,60043021,0.6065640194,0.3421643467,21500,0,0,1,Eastern Illinois University,https://www.eiu.edu/,50741,0,00167400,0.1143,0.0009,0.0066,0.1265,2.34999990463256,8.53999996185302,4.88999986648559,85.6299972534179,0.3171,0.7597,3,NULL,1036,3,IL,4616,0.3869,0.6131,0.0338,0.0019,0.0128,0.2101,0.0934,0.0015,0.024,0.0466,0.5758,39.479843,-88.175658,2024-06-13
NULL,23.542286751,11080,Elgin,1,8745,7845751,0.5462794918,0.5215794307,7390,0,1,2,Elgin Community College,www.elgin.edu/,42783,0,00167500,0.0181,0.0074,0,0.0251,4.09999990463256,4.82999992370605,21.2600002288818,79.0100021362304,0.2539,0.2825,2,NULL,NULL,2,IL,6347,0.4575,0.5425,0.044,0.0107,0.0704,0.0436,0.3736,0.0002,0.0085,0.0295,0.4196,42.018066,-88.32194,2024-06-13
0.7129,21.975236708,8200,Elmhurst,2,50133,108660467,0.6074289876,0.351910828,20489,0,1,1,Elmhurst University,www.elmhurst.edu/,58657,0,00167600,0.1358,0,0.0058,0.2204,5.11999988555908,7.28999996185302,11.9300003051757,80.6399993896484,0.3668,0.4072,3,76,1145,3,IL,2791,0.3812,0.6188,0.0258,0.0018,0.0702,0.0552,0.2641,0.0007,0.0197,0.0233,0.5392,41.897164,-87.945369,2024-06-13
0.8666,20.637279597,5652,Eureka,2,39139,31171236,0.4811083123,0.3415977961,23250,0,0,1,Eureka College,www.eureka.edu/,44812,0,00167800,0.1057,0,0.0244,0.187,1.0900000333786,7.57999992370605,3.73000001907348,88.3399963378906,0.454,0.72,3,61,1017,3,IL,468,0.5577,0.4423,0.0235,0.0085,0.0085,0.1303,0.0513,0.0021,0.0107,0.0534,0.7115,40.71482,-89.269624,2024-06-13
0.5205,27.917609778,7772,University Park,1,20806,2438931,0.6763241286,0.4261943103,18618,0,0,1,Governors State University,www.govst.edu/,52665,0,00914500,0.0603,0,0.0038,0.1796,1.47000002861022,35.8400001525878,8.21000003814697,56.8800010681152,0.5051,0.4814,3,NULL,951,3,IL,2698,0.3647,0.6353,0.0345,0.0019,0.0219,0.3877,0.182,0.0004,0.0156,0.0549,0.3013,41.449103,-87.716441,2024-06-13
0.7954,22.476109215,5800,Greenville,2,42166,23647559,0.4470989761,0.3112701252,23875,0,0,1,Greenville University,www.greenville.edu/,44195,0,00168400,0.1981,0.0236,0.0047,0.1698,1.14999997615814,6.67000007629394,3.32999992370605,89.2799987792968,0.4143,1,3,64,1008,3,IL,828,0.5471,0.4529,0.0374,0.0036,0.0036,0.1341,0.0568,0.0036,0.128,0.0242,0.6087,38.894162,-89.40824,2024-06-13
NULL,23.66152019,9658,Freeport,1,12041,23652874,0.609263658,0.4835616438,8029,0,0,2,Highland Community College,www.highland.edu/,35477,0,00168100,0.0017,0.0034,0,0.043,0.62000000476837,6.28000020980835,2.19000005722045,90.5899963378906,0.3495,0.4737,1,NULL,NULL,1,IL,901,0.3585,0.6415,0.0377,0.0078,0.0222,0.1088,0.0522,0.0033,0.0089,0.0289,0.7303,42.283344,-89.67342,2024-06-13
0.788,21.089593212,12687,Chicago,1,24382,380290620,0.5284502121,0.4439779965,16704,0,1,1,University of Illinois Chicago,www.uic.edu/,64108,0,00177600,0.0257,0.1069,0.0113,0.1538,6.07000017166137,14.0900001525878,17.6900005340576,68.5800018310547,0.486,0.7093,3,NULL,1212,3,IL,22011,0.4682,0.5318,0.0298,0.0003,0.2111,0.0745,0.3549,0.0002,0.0665,0.0161,0.2467,41.871837,-87.650503,2024-06-13
0.8002,23.520921771,8788,Lisle,2,45304,36902470,0.5761067314,0.3431952663,22500,0,0,1,Benedictine University,https://ben.edu/,61453,0,00176700,0.0307,0.0061,0.0077,0.3472,4.90000009536743,12.1000003814697,9.28999996185302,77.0899963378906,0.3876,0.3953,3,30,1168,3,IL,2174,0.5014,0.4986,0.0216,0.0101,0.1743,0.0915,0.1826,0.0037,0.0184,0.0856,0.4121,41.777569,-88.097307,2024-06-13
0.5966,19.852831045,13006,Champaign,1,31102,1821951797,0.4948371724,0.2493020998,19500,0,0,1,University of Illinois Urbana-Champaign,www.illinois.edu/,77368,0,00177500,0.0227,0.2131,0.0526,0.1177,4.59000015258789,9.76000022888183,8.40999984741211,80.0699996948242,0.2526,0.7509,3,NULL,1422,3,IL,33889,0.5385,0.4615,0.0369,0.0004,0.2172,0.0608,0.1404,0.0004,0.1284,0.0109,0.4044,40.104718,-88.229114,2024-06-13
0.4523,19.448051948,8564,Bloomington,2,65676,213223331,0.5227272727,0.1772575251,27000,0,0,1,Illinois Wesleyan University,www.iwu.edu/,66591,0,00169600,0.0482,0,0.0142,0.289,4.11999988555908,8.07999992370605,6.15999984741211,83.5999984741211,0.2372,0.5534,3,NULL,1239,3,IL,1646,0.4921,0.5079,0.0322,0.0012,0.0662,0.0717,0.0954,0.0006,0.0334,0.0043,0.695,40.489901,-88.992014,2024-06-13
NULL,23.522436947,8161,East Peoria,1,14084,22031290,0.5886013757,0.4263653484,8900,0,0,2,Illinois Central College,icc.edu/,34798,0,00675300,0,0.01,0,0.0254,0.95999997854232,11.4099998474121,2.08999991416931,85.1800003051757,0.2295,0.3861,2,NULL,NULL,2,IL,4800,0.3958,0.6042,0.0556,0.0017,0.0194,0.1319,0.0619,0.001,0.0173,0.0029,0.7083,40.707235,-89.52485,2024-06-13
0.7476,19.840607211,7375,Jacksonville,2,45289,126104821,0.5559772296,0.3109756098,25565,0,0,1,Illinois College,www.ic.edu/,51953,0,00168800,0.0297,0,0.0297,0.2288,0.93000000715255,4.67999982833862,2.69000005722045,91.9400024414062,0.4073,0.7282,3,66,1063,3,IL,1088,0.477,0.523,0.0294,0.0018,0.0083,0.091,0.0919,0,0.0395,0.0009,0.7371,39.7313,-90.246171,2024-06-13
NULL,24.692748092,6623,Olney,1,13010,NULL,0.6145038168,0.4083333333,6500,0,0,2,Olney Central College,https://www.iecc.edu/occ,34766,0,00174200,0.0022,0,0,0.0453,0.5,1.47000002861022,0.93999999761581,96.9599990844726,0.3046,0.4881,2,NULL,NULL,2,IL,585,0.4137,0.5863,0.0308,0.0051,0.0103,0.0239,0.0239,0,0,0,0.906,38.735913,-88.099589,2024-06-13
0.6611,21.882219706,13097,Chicago,2,65257,254043000,0.3001132503,0.3223767383,25000,0,0,1,Illinois Institute of Technology,https://www.iit.edu/,82793,0,00169100,0,0.471,0.0177,0.0306,5.61999988555908,10.369999885559,11.9399995803833,75.6800003051757,0.296,0.5858,3,NULL,1328,3,IL,2889,0.6781,0.3219,0.0395,0.0003,0.1696,0.0419,0.1911,0.0003,0.1488,0.0218,0.3866,41.8313,-87.627321,2024-06-13
0.9154,20.548777315,8532,Normal,1,31753,151372576,0.5624349636,0.2964350118,20482,0,0,1,Illinois State University,illinoisstate.edu/,58781,0,00169200,0.1586,0,0.0156,0.226,3.00999999046325,8.14999961853027,6.01999998092651,84.7900009155273,0.2989,0.7626,3,NULL,1125,3,IL,17632,0.4297,0.5703,0.0355,0.001,0.0256,0.1006,0.1236,0.0005,0.0073,0.0043,0.7016,40.509403,-88.990058,2024-06-13
NULL,23.572197309,8158,Oglesby,1,11499,NULL,0.599103139,0.5065989848,8233,0,0,2,Illinois Valley Community College,https://www.ivcc.edu/,38521,0,00170500,0,0.0058,0,0.0174,0.56000000238418,1.66999995708465,5.69000005722045,94.6999969482422,0.2835,0.4235,1,NULL,NULL,1,IL,1853,0.4452,0.5548,0.0248,0.0016,0.0092,0.0205,0.1705,0.0027,0,0.0426,0.728,41.30744,-89.100887,2024-06-13
NULL,23.801269841,7029,Carterville,1,11714,8505678,0.5879365079,0.4346210996,PrivacySuppressed,0,0,2,John A Logan College,https://www.jalc.edu/,31782,0,00807600,0.0014,0.0029,0,0.0244,1.37999999523162,10.619999885559,2.70000004768371,85.2600021362304,0.25,0.3815,2,NULL,NULL,2,IL,2157,0.3922,0.6078,0.0023,0.0074,0.0111,0.1122,0.0209,0.0014,0.0014,0.0603,0.783,37.747453,-89.09021,2024-06-13
NULL,23.779912664,6426,Quincy,1,12275,2569804,0.5930131004,0.4661432777,8029,0,0,2,John Wood Community College,www.jwcc.edu/,35370,0,01281300,0,0.0073,0,0.0311,0.34999999403953,3.59999990463256,1.26999998092651,94.4599990844726,0.6087,0.2813,2,NULL,NULL,2,IL,1370,0.3766,0.6234,0,0.0029,0.0102,0.0657,0.0234,0.0044,0,0.0139,0.8796,39.913741,-91.335828,2024-06-13
NULL,23.189117802,8800,Joliet,1,9555,22341451,0.5903328051,0.4684061616,9711,0,0,2,Joliet Junior College,www.jjc.edu/,38215,0,00169900,0.0004,0,0,0.1704,1.63999998569488,14.619999885559,9.51000022888183,77.6800003051757,0.2286,0.2672,2,NULL,NULL,2,IL,8937,0.4322,0.5678,0.036,0.0021,0.0274,0.0871,0.288,0.0004,0.0026,0.0178,0.5385,41.500535,-88.180985,2024-06-13
0.624,26.304812834,6455,Elgin,2,40750,5740962,0.6131907308,0.3562753036,25000,0,1,1,Judson University,www.judsonu.edu/,51562,0,00170000,0.0602,0,0.0046,0.2731,2.72000002861022,5.46999979019165,10.6099996566772,85.3600006103515,0.413,0.2596,3,54,1054,3,IL,923,0.4626,0.5374,0.0119,0.0011,0.0228,0.1235,0.3196,0.0022,0.0607,0.0715,0.3868,42.061754,-88.291336,2024-06-13
NULL,24.209337349,7765,Kankakee,1,11443,7152102,0.6167168675,0.5160714286,9969,0,0,2,Kankakee Community College,https://www.kcc.edu/,36589,0,00769000,0.002,0.004,0,0.0575,0.60000002384185,15.8500003814697,5.15999984741211,79.3399963378906,0.347,0.3657,1,NULL,NULL,1,IL,1837,0.3789,0.6211,0.0506,0.0011,0.0087,0.1432,0.1889,0.0011,0.006,0.0093,0.5912,41.098178,-87.851047,2024-06-13
NULL,24.1144641,8991,Centralia,1,10634,8681497,0.6555671176,0.4352806415,3750,0,0,2,Kaskaskia College,https://www.kaskaskia.edu/,34989,0,00170100,0,0.0053,0,0.0107,0.40999999642372,8.02000045776367,1.35000002384185,89.9100036621093,0.2596,0.4924,1,NULL,NULL,2,IL,1740,0.3431,0.6569,0.0414,0.0017,0.0034,0.054,0.0276,0.0006,0,0.0023,0.869,38.562112,-89.191974,2024-06-13
NULL,23.265743073,7297,Malta,1,12283,3149009,0.5749370277,0.4441110278,9395,0,0,2,Kishwaukee College,www.kish.edu/,40064,0,00768400,0,0.0078,0,0.0117,2.20000004768371,17.1499996185302,9.02000045776367,74.5500030517578,0.2361,0.3851,2,NULL,NULL,2,IL,1731,0.4194,0.5806,0.0456,0.004,0.0087,0.1248,0.2178,0,0,0.0144,0.5846,41.938234,-88.880524,2024-06-13
0.7024,19.565464896,7027,Galesburg,2,62212,171631200,0.605313093,0.2784552846,27000,0,0,1,Knox College,https://www.knox.edu/,51471,0,00170400,0.0958,0,0.0115,0.0843,3.14000010490417,7.21999979019165,6.98000001907348,84.5199966430664,0.318,0.745,3,NULL,1276,3,IL,1140,0.4333,0.5667,0.0614,0.0026,0.0439,0.0658,0.136,0,0.1588,0.0395,0.4921,40.943064,-90.373165,2024-06-13
NULL,23.363778055,11706,Grayslake,1,10546,2160701,0.5763715711,0.5202754399,8735,0,1,2,College of Lake County,www.clcillinois.edu/,40885,0,00769400,0.0082,0.0049,0,0.0256,3.45000004768371,11.5,19.5400009155273,72.5999984741211,0.2029,0.254,1,NULL,NULL,1,IL,9124,0.4404,0.5596,0.0331,0.0014,0.05,0.0747,0.4362,0.0015,0.0098,0.0361,0.3572,42.354164,-88.012291,2024-06-13
0.6443,19.898648649,8525,Lake Forest,2,63691,84192908,0.6030405405,0.2458715596,26158,0,0,1,Lake Forest College,www.lakeforest.edu/,66559,0,00170600,0.0172,0,0.0201,0.2464,4.63000011444091,7.15999984741211,8.82999992370605,82.3899993896484,0.3564,0.5812,3,NULL,1271,3,IL,1657,0.4164,0.5836,0.0326,0.0036,0.0549,0.041,0.1774,0.0018,0.1605,0.0453,0.4828,42.249574,-87.827454,2024-06-13
NULL,24.16794796,6693,Mattoon,1,10378,5,0.5966883501,0.4391392065,6188,0,0,2,Lake Land College,www.lakelandcollege.edu/,35519,0,00764400,0.002,0.0033,0,0.0948,0.43999999761581,2.13000011444091,1.0900000333786,96.2099990844726,0.2488,0.5806,1,NULL,NULL,1,IL,2439,0.3907,0.6093,0.0291,0.0021,0.0062,0.0303,0.0287,0,0.0057,0.0025,0.8954,39.416969,-88.380835,2024-06-13
NULL,25.448275862,6910,Danville,2,NULL,16568826,0.8390804598,PrivacySuppressed,15000,0,0,1,Lakeview College of Nursing,www.lakeviewcol.edu/,74126,0,01050100,0,0,0,0,3.38000011444091,11.0500001907348,7.32000017166137,80.8300018310547,0.4938,0.6154,3,NULL,NULL,3,IL,152,0.1974,0.8026,0.0987,0.0066,0.0921,0.1645,0.0263,0,0,0,0.6118,40.13855,-87.644379,2024-06-13
NULL,23.127856366,8747,Godfrey,1,9238,NULL,0.5669205658,0.4283110571,6751,0,0,2,Lewis and Clark Community College,www.lc.edu/,37825,0,01002000,0,0.0038,0,0.08,0.46000000834465,7.84000015258789,1.20000004768371,90.0699996948242,0.19,1,1,NULL,NULL,2,IL,2417,0.3819,0.6181,0.0285,0.0066,0.0058,0.1022,0.0281,0.0017,0,0.0505,0.7766,38.951624,-90.194405,2024-06-13
0.7126,22.443587271,9663,Romeoville,2,43142,84155381,0.5491803279,0.3940031562,21500,0,0,1,Lewis University,www.lewisu.edu/,61393,0,00170700,0.0761,0.0053,0.0062,0.2027,3.31999993324279,11.7299995422363,10.7700004577636,78.120002746582,0.3149,0.4209,3,30,1147,3,IL,3799,0.4912,0.5088,0.0237,0.0013,0.0626,0.0592,0.234,0.0016,0.0229,0.0126,0.582,41.605432,-88.079032,2024-06-13
NULL,24.563559322,4543,Lincoln,2,27946,5385565,0.4279661017,0.3122171946,20250,0,0,1,Lincoln Christian University,www.lincolnchristian.edu/,39734,0,00170800,0.0119,0,0,0.1667,0.89999997615814,4.80999994277954,2.54999995231628,92.0599975585937,0.4123,0.8125,3,48,NULL,3,IL,284,0.5775,0.4225,0.007,0.0035,0.0211,0.0951,0.0458,0.0035,0.0317,0,0.7923,40.148924,-89.346721,2024-06-13
NULL,24.548088531,9763,Springfield,1,11062,27444043,0.5839034205,0.4664791374,11011,0,0,2,Lincoln Land Community College,www.llcc.edu/,35787,0,00717000,0,0.0033,0,0.0039,0.81000000238418,8.61999988555908,1.60000002384185,88.6299972534179,0.3267,0.4825,2,NULL,NULL,2,IL,3959,0.3794,0.6206,0.0712,0.0063,0.0119,0.1215,0.044,0.0003,0,0.0434,0.7014,39.721211,-89.611249,2024-06-13
0.7698,20.963474388,11060,Chicago,2,53851,701356311,0.6853006682,0.2768674699,24157,0,0,1,Loyola University Chicago,https://www.luc.edu/,66791,0,00171000,0.0186,0.012,0.0089,0.2125,5.46000003814697,10.079999923706,12.2100000381469,76.4899978637695,0.2282,0.4743,3,30,1311,3,IL,11739,0.3179,0.6821,0.0464,0.001,0.1294,0.0566,0.1902,0.0011,0.0295,0.0136,0.5322,42.000765,-87.656872,2024-06-13
NULL,26.889570552,6381,Rock Island,2,NULL,3303524,0.8895705521,0.4105960265,24000,0,0,1,Trinity College of Nursing & Health Sciences,www.trinitycollegeqc.edu/default.aspx,54392,0,00622500,0,0,0,0,0.97000002861022,5.07000017166137,4.8600001335144,90.2600021362304,0.3427,1,3,NULL,NULL,3,IL,108,0.1574,0.8426,0.0463,0,0.0463,0.0556,0.1204,0,0,0.0463,0.6852,41.484924,-90.568862,2024-06-13
NULL,30.37037037,4638,Chicago,2,23635,NULL,0.7777777778,0.5641025641,25250,0,0,2,Generations College,www.generations.edu/,34903,0,00171600,0,0,0,0.3111,3.98000001907348,28.7399997711181,26.1299991607666,50.7299995422363,0.5725,0.2593,2,NULL,NULL,2,IL,258,0.093,0.907,0.0426,0.0155,0.0039,0.5194,0.186,0.0039,0,0,0.2287,41.881898,-87.626657,2024-06-13
NULL,24.353250164,11074,Crystal Lake,1,11292,2927971,0.5699277741,0.4843391902,6260,0,0,2,McHenry County College,www.mchenry.edu/,42560,0,00769100,0,0.0071,0,0.0777,1.27999997138977,1.30999994277954,8.97999954223632,92.4899978637695,0.1314,0.3355,1,NULL,NULL,2,IL,4595,0.4516,0.5484,0.0429,0.0013,0.0207,0.017,0.2272,0.0004,0.0007,0.0642,0.6257,42.259111,-88.368956,2024-06-13
0.7768,23.135640786,6884,Lebanon,2,46130,32516798,0.5425631431,0.3255813953,23250,0,0,1,McKendree University,https://www.mckendree.edu/,51819,0,00172200,0.0775,0,0.0211,0.3192,0.93000000715255,9.85000038146972,2.36999988555908,86.7300033569336,0.3139,1,3,71,NULL,3,IL,1436,0.4993,0.5007,0.0557,0.0007,0.0049,0.1163,0.0627,0.0007,0.0494,0.1058,0.6038,38.608154,-89.816822,2024-06-13
1,27.090140845,6734,Peoria,2,38345,2314851,0.8957746479,0.347826087,31250,0,0,1,Methodist College,www.methodistcol.edu/,66066,0,00622800,0,0,0,0,NULL,NULL,NULL,NULL,0.4758,0.5588,3,NULL,980,3,IL,514,0.1128,0.8872,0.0311,0.0019,0.037,0.1595,0.0311,0,0,0.0117,0.7276,40.7804,-89.682864,2024-06-13
0.7481,21.179616549,6395,Decatur,2,52565,94270603,0.5449041372,0.3184782609,27000,0,0,1,Millikin University,https://millikin.edu/,46513,0,00172400,0.106,0,0.0199,0.1987,1.44000005722045,10.4499998092651,4.01000022888183,84.9000015258789,0.3424,0.7609,3,NULL,1106,3,IL,1719,0.4369,0.5631,0.0378,0.0029,0.0198,0.1449,0.0599,0.0017,0.0454,0.0105,0.6771,39.842612,-88.976298,2024-06-13
0.6564,19.733855186,6794,Monmouth,2,52167,114661256,0.4598825832,0.3224400871,27000,0,0,1,Monmouth College,www.monmouthcollege.edu/,49661,0,00172500,0.0299,0,0.0249,0.1891,1.73000001907348,5.76000022888183,5.80999994277954,88.5400009155273,0.299,0.7857,3,66,1210,3,IL,750,0.4867,0.5133,0.0333,0.0053,0.008,0.0853,0.128,0,0.0147,0.0347,0.6907,40.914824,-90.63731,2024-06-13
0.9765,24.862174579,8625,Chicago,2,31107,42200301,0.450229709,0.2808988764,18149,0,0,1,Moody Bible Institute,https://www.moody.edu/,47183,0,00172700,0,0,0,0,NULL,NULL,NULL,NULL,0.3623,0.3077,3,42,NULL,3,IL,1878,0.5149,0.4851,0.0304,0.0027,0.0304,0.0532,0.0815,0.0005,0.0937,0.1086,0.599,41.897822,-87.633459,2024-06-13
NULL,22.823327961,8065,Palos Hills,1,10929,NULL,0.5656728445,0.490530303,9500,0,0,2,Moraine Valley Community College,www.morainevalley.edu/,40081,0,00769200,0.0012,0.0036,0,0.0305,1.65999996662139,19.2099990844726,10.6800003051757,71.9599990844726,0.2717,0.2853,2,NULL,NULL,2,IL,7443,0.4518,0.5482,0.0232,0.003,0.0289,0.0889,0.2832,0.0012,0.0117,0.0842,0.4756,41.694613,-87.836915,2024-06-13
NULL,21.963809524,8441,Cicero,1,12706,NULL,0.5574603175,0.6692439863,8000,0,1,2,Morton College,www.morton.edu/,38409,0,00172800,0,0,0,0.0758,1.5900000333786,8.77999973297119,53.2099990844726,56.0400009155273,0.4337,0.3862,2,NULL,NULL,2,IL,2702,0.4078,0.5922,0.0059,0.0015,0.0081,0.0377,0.842,0.0004,0,0.0459,0.0585,41.824303,-87.762306,2024-06-13
0.9704,30.24099723,6377,Chicago,2,23485,34585380,0.7513850416,0.5044483986,19750,0,1,1,National Louis University,www.nl.edu/,44968,0,00173300,0.2218,0,0,0.2379,4.09000015258789,30.9599990844726,15.579999923706,54.9399986267089,0.6071,1,3,NULL,NULL,3,IL,3485,0.2614,0.7386,0.0164,0.002,0.0241,0.1793,0.5521,0.0003,0.0181,0.0508,0.157,41.880093,-87.624699,2024-06-13
0.684,20.473484848,8591,Naperville,2,54526,112843418,0.5386363636,0.2659660469,24500,0,0,1,North Central College,northcentralcollege.edu/,57787,0,00173400,0.0962,0,0.0079,0.2461,4.32999992370605,5.53000020980835,7.84000015258789,85.3499984741211,0.2525,0.5357,3,71,1156,3,IL,2384,0.4845,0.5155,0.0256,0.0008,0.0357,0.0541,0.156,0,0.0398,0.0487,0.6393,41.77576,-88.14279,2024-06-13
0.6714,22.218719212,7817,Chicago,2,39934,76326518,0.6128078818,0.3698324022,25500,0,1,1,North Park University,www.northpark.edu/,55242,0,00173500,0.0695,0.0024,0.012,0.2806,5.82999992370605,11.579999923706,14.4399995803833,72.6800003051757,0.4561,1,3,37,1055,3,IL,1834,0.4057,0.5943,0.0311,0.0033,0.1009,0.0872,0.3212,0.0016,0.0698,0.0311,0.3539,41.975268,-87.709948,2024-06-13
